,AMPK,AMPK_ATP,AMPK_ADP,AMPK_AMP,ATP,ADP,AMP,PYRUVATE
90,1.19463e-10,7.10148e-15,5.90838e-07,9.00738e-09,1.30708e-11,7.41838e-06,1.88722e-07,7.41644e-09
91,1.19466e-10,6.61743e-15,5.90814e-07,9.03171e-09,1.21796e-11,7.41788e-06,1.89226e-07,6.8857e-09
92,1.19469e-10,6.16692e-15,5.90789e-07,9.05603e-09,1.13501e-11,7.41737e-06,1.8973e-07,6.39173e-09
93,1.19473e-10,5.74775e-15,5.90765e-07,9.08035e-09,1.05784e-11,7.41687e-06,1.90234e-07,5.9321e-09
94,1.19476e-10,5.3628e-15,5.90741e-07,9.10467e-09,9.86966e-12,7.41637e-06,1.90737e-07,5.50998e-09
95,1.19479e-10,5.00546e-15,5.90717e-07,9.12898e-09,9.21179e-12,7.41587e-06,1.91241e-07,5.11812e-09
96,1.19482e-10,4.67266e-15,5.90692e-07,9.1533e-09,8.59911e-12,7.41536e-06,1.91745e-07,4.75316e-09
97,1.19485e-10,4.3628e-15,5.90668e-07,9.17761e-09,8.0287e-12,7.41486e-06,1.92248e-07,4.41335e-09
98,1.19489e-10,4.0744e-15,5.90644e-07,9.20192e-09,7.49778e-12,7.41436e-06,1.92752e-07,4.09706e-09
99,1.19492e-10,3.80602e-15,5.90619e-07,9.22623e-09,7.00375e-12,7.41385e-06,1.93255e-07,3.80272e-09
100,1.19495e-10,3.5586e-15,5.90595e-07,9.25053e-09,6.5483e-12,7.41335e-06,1.93758e-07,3.53136e-09
101,1.19498e-10,3.32986e-15,5.90571e-07,9.27484e-09,6.12725e-12,7.41285e-06,1.94262e-07,3.28047e-09
102,1.19501e-10,3.11681e-15,5.90546e-07,9.29914e-09,5.73508e-12,7.41234e-06,1.94765e-07,3.04679e-09
103,1.19505e-10,2.91843e-15,5.90522e-07,9.32344e-09,5.36993e-12,7.41184e-06,1.95268e-07,2.82919e-09
104,1.19508e-10,2.73376e-15,5.90498e-07,9.34774e-09,5.03003e-12,7.41134e-06,1.95771e-07,2.62663e-09
105,1.19511e-10,2.5619e-15,5.90473e-07,9.37203e-09,4.71371e-12,7.41084e-06,1.96274e-07,2.43812e-09
106,1.19514e-10,2.40284e-15,5.90449e-07,9.39633e-09,4.42095e-12,7.41033e-06,1.96777e-07,2.26363e-09
107,1.19517e-10,2.25639e-15,5.90425e-07,9.42062e-09,4.15142e-12,7.40983e-06,1.9728e-07,2.10298e-09
108,1.1952e-10,2.11998e-15,5.90401e-07,9.44491e-09,3.90035e-12,7.40933e-06,1.97783e-07,1.95333e-09
109,1.19524e-10,1.99294e-15,5.90376e-07,9.4692e-09,3.66655e-12,7.40883e-06,1.98285e-07,1.81397e-09
110,1.19527e-10,1.87467e-15,5.90352e-07,9.49348e-09,3.44889e-12,7.40832e-06,1.98788e-07,1.68423e-09
111,1.1953e-10,1.76459e-15,5.90328e-07,9.51777e-09,3.24631e-12,7.40782e-06,1.99291e-07,1.56347e-09
